Row ID,Tanggal,Tweet ID,User ,Tweet,Web
1,3/24/2021 13:49,1.37E+18,ren,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
2,2/8/2021 15:37,1.37E+18,I Joe Poe,"Percuma jika hanya pantau saja.   Masukan masyarakat bukan hanya ditampung.   Harus ada bukti tindakan dan hasil kerjanya.   Contoh: Jalan berlubang pas didepan halte busway Kuningan Barat mau masuk underpass Mampang Prapatan,  sangat berbahaya,  terutama jika hujan,  tertutup air.  ",
3,3/24/2021 2:09,1.37E+18,seruput kopi, @NKRI_2020 @fadlizon gak banjir gak gibah.  .  .  .   yang disalahin curah hujan.  .  .  .   bentuk kegagalan nih,
4,3/23/2021 23:35,1.37E+18,Nadya Musmiatin, Banjir Melanda  karena Ulah Manusia Serakah,https:/ / t.  co/ i30ytQKPvD
5,3/23/2021 17:14,1.37E+18,SEWA TRUK,"  @DKIJakarta: Teman- teman mungkin masih ingat banjir yang melanda DKI Jakarta,  pada 1 Januari 2020,  kekeringan di Tanah Abang pada tahun 2018",
6,3/23/2021 15:17,1.37E+18,Karma itu NyAta.  .  .  ,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
7,3/23/2021 8:23,1.37E+18,Nonaretwet,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
8,3/23/2021 6:03,1.37E+18,KIP,"  @KPU_ID: #TemanPemilih,  KPU RI kembali serahkan donasi kemanusiaan bagi Penyelenggara Pemilihan 2020 yang terdampak bencana banjir",
9,3/23/2021 1:16,1.37E+18,Farid Ariadano,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat 2016",
10,3/23/2021 1:11,1.37E+18,Serenity,"  @hasyimmah: Jadi sekali lagi,  kesombongan bahwa banjir di era Ahok lebih besar,  ya langsung dibalas oleh alam.  ",
11,3/23/2021 1:11,1.37E+18,Serenity,  @hasyimmah: Bahkan mantan gubernur DKI Pak Sutiyoso berkomentar di TV tentang parahnya banjir Jakarta awal 2020.  ,
12,3/23/2021 1:01,1.37E+18,Serenity,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
13,3/22/2021 23:09,1.37E+18,Fatur,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
14,3/22/2021 17:40,1.37E+18,danny,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
15,3/22/2021 16:28,1.37E+18,Cei,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
16,3/22/2021 16:20,1.37E+18,Danimas,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
17,3/22/2021 15:18,1.37E+18,Nius,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
18,3/22/2021 14:54,1.37E+18,Bang Hengaki,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
19,3/22/2021 13:48,1.37E+18,Blackco Tanya,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
20,3/22/2021 13:04,1.37E+18,Sitiaisyah2051988,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
21,3/24/2021 13:49,1.37E+18,ren,"  @Uki23: Kalau mengikutkan data BPBD tahun 2016,  2017,  2018 ada fakta yang disembunyikan Pemprov DKI.   Jumlah pengungsi meningkat",
22,3/24/2021 2:09,1.37E+18,seruput kopi, @NKRI_2020 @fadlizon gak banjir gak gibah .  .  yang disalahin curah hujan.  .  bentuk kegagalan nih,
